;;;;;Games;;0-19;;20-29;;30-39;;40-49;;50+;;Scoring;;;;;;;Kickoffs;;;;
21;Aldrick Rosas;NYG;23;K;16;0;;;8;8;5;3;9;4;3;3;25;18;52;72.00%;23;20;87.00%;62;3759;26;41.90%;60.6
22;Cody Parkey;MIA;25;K;16;0;;;6;6;8;8;7;6;2;1;23;21;54;91.30%;29;26;89.70%;67;4013;28;41.80%;59.9
23;Patrick Murray;TAM;26;K;12;0;;;5;5;8;8;5;4;5;2;23;19;50;82.60%;22;21;95.50%;59;3590;14;23.70%;60.8
24;Giorgio Tavecchio;OAK;27;K;16;0;;;5;5;7;5;5;3;4;3;21;16;53;76.20%;34;33;97.10%;64;4058;48;75.00%;63.4
25;Randy Bullock;CIN;28;K;15;0;;;6;6;8;7;5;4;1;1;20;18;51;90.00%;33;31;93.90%;65;4071;30;46.20%;62.6
26;Dan Bailey;DAL;29;K;12;0;1;1;4;3;5;4;5;4;5;3;20;15;56;75.00%;28;26;92.90%;56;3605;32;57.10%;64.4
27;Zane Gonzalez;CLE;22;K;16;0;;;5;5;6;4;6;4;3;2;20;15;54;75.00%;26;25;96.20%;56;3286;33;58.90%;58.7
28;Josh Lambo;JAX;27;K;10;0;;;2;2;11;11;5;4;2;2;20;19;56;95.00%;24;22;91.70%;57;3322;22;38.60%;58.3
29;Mason Crosby;GNB;33;K;16;0;;;8;8;4;2;4;4;3;1;19;15;50;78.90%;35;33;94.30%;68;4248;36;52.90%;62.5
30;Dustin Hopkins;WAS;27;K;8;0;1;1;7;7;2;2;5;4;2;;17;14;49;82.40%;19;18;94.70%;40;2574;29;72.50%;64.4
31;Connor Barth;CHI;31;K;10;0;1;1;4;4;;;9;5;2;1;16;11;54;68.80%;17;17;100.00%;37;2374;17;45.90%;64.2
32;Jason Myers;JAX;26;K;6;0;;;4;4;3;2;5;5;3;;15;11;47;73.30%;17;15;88.20%;35;2117;26;74.30%;60.5
33;Nick Rose;2TM;23;K;10;0;;;6;6;4;3;2;1;2;1;14;11;55;78.60%;26;23;88.50%;38;2352;24;63.20%;61.9
34;Nick Novak;LAC;36;K;7;0;;;4;4;5;4;2;;2;1;13;9;50;69.20%;18;17;94.40%;;;;;
35;Mike Nugent;2TM;35;K;8;0;;;3;3;4;3;5;4;1;1;13;11;55;84.60%;17;15;88.20%;36;2262;18;50.00%;62.8
36;Nick Folk;TAM;33;K;4;0;;;2;2;2;1;5;2;2;1;11;6;50;54.50%;9;7;77.80%;18;1114;13;72.20%;61.9
37;Travis Coons;LAC;25;K;3;0;;;4;4;3;2;1;1;;;8;7;40;87.50%;6;5;83.30%;;;;;
38;Younghoe Koo;LAC;23;K;4;0;;;2;2;;;4;1;;;6;3;41;50.00%;9;9;100.00%;;;;;
39;Cairo Santos;2TM;26;K;5;0;;;;;4;4;;;1;;5;4;39;80.00%;14;14;100.00%;20;1308;12;60.00%;65.4
40;Sam Ficken;LAR;25;K;2;0;;;2;2;1;;;;;;3;2;23;66.70%;5;4;80.00%;8;511;5;62.50%;63.9
41;Caleb Sturgis;PHI;28;K;1;0;;;;;1;1;1;1;1;1;3;3;50;100.00%;2;1;50.00%;6;374;2;33.30%;62.3
42;Jeff Heath;DAL;26;SS;15;15;;;;;;;;;;;;;;;3;2;66.70%;5;308;2;40.00%;61.6
43;Drew Kaser;LAC;24;P;16;0;;;;;;;;;;;;;;;3;1;33.30%;;;;;
44;Marshall Koehn;CIN;25;K;1;0;;;;;;;;;;;;;;;1;1;100.00%;2;139;1;50.00%;69.5
45;Matthew Bosher;ATL;30;K;16;0;;;;;;;;;;;;;;;;;;84;5332;49;58.30%;63.5
46;Bradley Pinion;SFO;23;P;16;0;;;;;;;;;;;;;;;;;;79;5065;64;81.00%;64.1
47;Rigoberto Sanchez;IND;23;K;16;0;;;;;;;;;;;;;;;;;;70;4385;46;65.70%;62.6
48;Sam Martin;DET;27;P;10;0;;;;;;;;;;;;;;;;;;50;3242;25;50.00%;64.8
49;Jeff Locke;DET;28;P;5;0;;;;;;;;;;;;;;;;;;23;1485;16;69.60%;64.6
50;Kamu Grugier-Hill;PHI;23;LB;16;0;;;;;;;;;;;;;;;;;;4;248;1;25.00%;62
51;Pat O'Donnell;CHI;26;P;16;0;;;;;;;;;;;;;;;;;;4;260;2;50.00%;65
52;Riley Dixon;DEN;24;P;16;0;;;;;;;;;;;;;;;;;;2;118;;;59
53;Jon Ryan;SEA;36;P;16;0;;;;;;;;;;;;;;;;;;2;125;;;62.5
54;Britton Colquitt;CLE;32;P;16;0;;;;;;;;;;;;;;;;;;1;64;;;64
55;Dustin Colquitt;KAN;35;P;16;0;;;;;;;;;;;;;;;;;;1;48;;;48
56;Lac Edwards;NYJ;25;P;16;0;;;;;;;;;;;;;;;;;;1;55;;;55
57;Shane Lechler;HOU;41;P;16;0;;;;;;;;;;;;;;;;;;1;46;;;46
58;Andy Lee;ARI;35;P;16;0;;;;;;;;;;;;;;;;;;1;68;;;68
59;Thomas Morstead;NOR;31;P;16;0;;;;;;;;;;;;;;;;;;1;65;1;100.00%;65
60;Ryan Quigley;MIN;27;P;16;0;;;;;;;;;;;;;;;;;;1;51;;;51
61;Kasey Redfern;DET;26;P;1;0;;;;;;;;;;;;;;;;;;1;65;;;65
62;Tress Way;WAS;27;P;16;0;;;;;;;;;;;;;;;;;;1;61;;;61
