;;;;;Games;;0-19;;20-29;;30-39;;40-49;;50+;;Scoring;;;;;;;Kickoffs;;;;
Rk;Player;Tm;Age;Pos;G;GS;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;Lng;FG%;XPA;XPM;XP%;KO;KOYds;TB;TB%;KOAvg
1;Ryan Succop;TEN;31;K;16;0;;;10;10;7;7;20;16;5;2;42;35;52;83.30%;33;31;93.90%;80;5120;47;58.80%;64
2;Harrison Butker;KAN;22;K;13;0;;;8;8;17;16;12;10;5;4;42;38;53;90.50%;28;28;100.00%;78;5006;61;78.20%;64.2
3;Robbie Gould;SFO;35;K;16;0;;;8;7;11;11;18;17;4;4;41;39;52;95.10%;30;28;93.30%;4;101;;;25.3
4;Stephen Gostkowski;NWE;33;K;16;0;;;16;16;9;9;11;8;4;4;40;37;62;92.50%;47;45;95.70%;99;6228;40;40.40%;62.9
5;Greg Zuerlein*+;LAR;30;K;14;0;1;1;8;8;12;11;12;12;7;6;40;38;56;95.00%;46;44;95.70%;95;6075;73;76.80%;63.9
6;Phil Dawson;ARI;42;K;16;0;1;1;7;7;14;10;13;10;5;4;40;32;57;80.00%;26;23;88.50%;76;4647;34;44.70%;61.1
7;Matt Bryant;ATL;42;K;16;0;1;1;6;6;13;10;10;9;9;8;39;34;57;87.20%;35;35;100.00%;;;;;
8;Chris Boswell*;PIT;26;K;16;0;;;10;10;14;12;10;9;4;4;38;35;53;92.10%;39;37;94.90%;90;5681;46;51.10%;63.1
9;Kai Forbath;MIN;30;K;16;0;;;8;8;14;12;7;6;9;6;38;32;53;84.20%;39;34;87.20%;88;5587;44;50.00%;63.5
10;Justin Tucker;BAL;28;K;16;0;;;7;7;11;11;12;11;7;5;37;34;57;91.90%;39;39;100.00%;90;5601;55;61.10%;62.2
11;Wil Lutz;NOR;23;K;16;0;;;10;10;5;4;16;13;5;4;36;31;53;86.10%;50;47;94.00%;94;5972;58;61.70%;63.5
12;Matt Prater;DET;33;K;16;0;2;2;4;4;10;10;8;7;11;7;35;30;58;85.70%;41;40;97.60%;17;977;6;35.30%;57.5
13;Adam Vinatieri;IND;45;K;15;0;;;11;11;10;7;7;6;6;5;34;29;54;85.30%;24;22;91.70%;;;;;
14;Stephen Hauschka;BUF;32;K;16;0;;;6;6;9;9;9;7;9;7;33;29;56;87.90%;29;29;100.00%;74;4361;37;50.00%;58.9
15;Brandon McManus;DEN;26;K;16;0;;;8;6;12;11;6;4;6;3;32;24;53;75.00%;27;27;100.00%;71;4191;45;63.40%;59
16;Jake Elliott;PHI;22;K;15;0;;;5;5;7;4;13;12;6;5;31;26;61;83.90%;42;39;92.90%;84;5212;42;50.00%;62
17;Graham Gano*;CAR;30;K;16;0;;;8;8;11;11;10;10;1;;30;29;48;96.70%;37;34;91.90%;83;5313;70;84.30%;64
18;Chandler Catanzaro;NYJ;26;K;16;0;1;1;6;6;4;4;17;12;2;2;30;25;57;83.30%;29;29;100.00%;71;4349;45;63.40%;61.3
19;Blair Walsh;SEA;27;K;16;0;;;6;6;10;7;12;8;1;;29;21;49;72.40%;38;37;97.40%;78;4837;39;50.00%;62
20;Ka'imi Fairbairn;HOU;23;K;16;0;;;4;3;10;8;7;6;4;3;25;20;55;80.00%;35;32;91.40%;75;4718;49;65.30%;62.9
