;;;;;Games;;0-19;;20-29;;30-39;;40-49;;50+;;Scoring;;;;;;;Kickoffs;;;;
Rk;Player;Tm;Age;Pos;G;GS;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;Lng;FG%;XPA;XPM;XP%;KO;KOYds;TB;TB%;KOAvg
46;Trenton Gill;CHI;24;P;17;0;;;;;;;;;;;;;;;;;;13;794;11;84.60%;61.1
47;Ty Zentner;2TM;25;K-P;9;0;;;;;;;;;;;;;;;;;;9;581;2;22.20%;64.6
48;Jake Bailey;MIA;26;P;17;0;;;;;;;;;;;;;;;;;;8;524;7;87.50%;65.5
49;Mitch Wishnowsky;SFO;31;P;17;0;;;;;;;;;;;;;;;;;;7;451;4;57.10%;64.4
50;Thomas Morstead;NYJ;37;P;17;0;;;;;;;;;;;;;;;;;;6;325;2;33.30%;54.2
51;Corey Bojorquez;CLE;27;P;16;0;;;;;;;;;;;;;;;;;;4;230;;;57.5
52;Kamu Grugier-Hill;CAR;29;LB;17;5;;;;;;;;;;;;;;;;;;3;142;;;47.3
53;Jordan Stout;BAL;25;P;17;0;;;;;;;;;;;;;;;;;;3;193;;;64.3
54;Bryce Baringer;NWE;24;P;17;0;;;;;;;;;;;;;;;;;;1;16;;;16
55;D'Anthony Bell;CLE;27;S;17;4;;;;;;;;;;;;;;;;;;1;42;;;42
56;Riley Dixon;DEN;30;P;17;0;;;;;;;;;;;;;;;;;;1;67;;;67
57;Johnny Hekker;CAR;33;P;17;0;;;;;;;;;;;;;;;;;;1;10;;;10
58;Cameron Johnston;HOU;31;P;13;0;;;;;;;;;;;;;;;;;;1;67;;;67
59;Rigoberto Sanchez;IND;29;P;17;0;;;;;;;;;;;;;;;;;;1;62;;;62
60;Ryan Wright;MIN;23;P;17;0;;;;;;;;;;;;;;;;;;1;47;;;47
