;;;;;Games;;0-19;;20-29;;30-39;;40-49;;50+;;Scoring;;;;;;;Kickoffs;;;;
19;Cairo Santos;CHI;30;K;17;0;;;10;10;5;5;13;11;2;;30;26;47;86.70%;28;27;96.40%;71;4443;34;47.90%;62.6
20;Younghoe Koo;ATL;27;K;17;0;;;8;8;9;9;7;6;5;4;29;27;54;93.10%;30;30;100.00%;56;3508;29;51.80%;62.6
21;Harrison Butker;KAN;26;K;16;0;;;3;3;11;11;5;4;9;7;28;25;56;89.30%;49;47;95.90%;93;5853;61;65.60%;62.9
22;Joey Slye;3TM;25;K;12;0;;;9;9;5;5;7;5;4;4;25;23;56;92.00%;22;18;81.80%;58;3690;37;63.80%;63.6
23;Matthew Wright;JAX;25;K;14;0;;;7;7;7;7;4;3;6;4;24;21;56;87.50%;15;13;86.70%;31;1883;6;19.40%;60.7
24;Jason Myers;SEA;30;K;17;0;;;2;2;11;9;5;3;5;3;23;17;53;73.90%;47;44;93.60%;83;5078;31;37.30%;61.2
25;Robbie Gould;SFO;39;K;13;0;;;6;6;4;4;9;7;4;3;23;20;52;87.00%;40;39;97.50%;19;1203;8;42.10%;63.3
26;Michael Badgley;2TM;26;K;13;0;;;4;4;7;6;10;8;1;;22;18;46;81.80%;41;40;97.60%;5;270;3;60.00%;54
27;Zane Gonzalez;CAR;26;K;12;0;;;6;6;1;1;10;10;5;3;22;20;57;90.90%;23;22;95.70%;55;3568;35;63.60%;64.9
28;Chase McLaughlin;CLE;25;K;16;0;;;3;3;4;4;10;4;4;4;21;15;57;71.40%;37;36;97.30%;69;4347;31;44.90%;63
29;Ka'imi Fairbairn;HOU;27;K;13;0;;;4;4;5;5;4;2;6;4;19;15;61;78.90%;16;13;81.30%;44;2656;16;36.40%;60.4
30;Matt Ammendola;NYJ;25;K;11;0;;;5;5;6;6;5;2;3;;19;13;49;68.40%;15;14;93.30%;47;2762;27;57.40%;58.8
31;Brett Maher;NOR;32;K;8;0;;;4;4;9;8;4;4;1;;18;16;42;88.90%;12;10;83.30%;37;2245;18;48.60%;60.7
32;Riley Patterson;DET;22;K;7;0;;;3;3;6;6;4;4;1;;14;13;49;92.90%;16;16;100.00%;2;14;;;7
33;Rodrigo Blankenship;IND;24;K;5;0;;;3;3;4;3;6;5;1;;14;11;48;78.60%;8;7;87.50%;4;208;2;50.00%;52
34;Austin Seibert;DET;25;K;6;0;;;;;4;4;6;5;2;1;12;10;52;83.30%;5;5;100.00%;26;1324;5;19.20%;50.9
35;Brian Johnson;2TM;22;K;7;0;;;5;5;3;3;1;1;1;1;10;10;52;100.00%;13;9;69.20%;35;2143;16;45.70%;61.2
36;Eddy Pineiro;NYJ;26;K;5;0;;;2;2;2;2;3;3;1;1;8;8;51;100.00%;10;9;90.00%;;;;;
37;Tristan Vizcaino;LAC;25;K;6;0;;;3;3;2;2;2;1;;;7;6;46;85.70%;15;10;66.70%;31;1996;13;41.90%;64.4
38;Aldrick Rosas;2TM;27;K;5;0;;;;;1;;2;2;2;;5;2;44;40.00%;14;14;100.00%;21;1357;17;81.00%;64.6
39;Lirim Hajrullahu;2TM;31;K;4;0;;;2;2;2;2;1;;;;5;4;35;80.00%;8;8;100.00%;17;1100;12;70.60%;64.7
40;Ryan Santoso;2TM;26;P;4;0;;;3;3;1;1;1;;;;5;4;35;80.00%;8;6;75.00%;15;964;12;80.00%;64.3
41;Elliott Fry;2TM;27;K;2;0;;;;;4;3;1;1;;;5;4;44;80.00%;5;4;80.00%;12;706;6;50.00%;58.8
42;Chris Blewitt;WAS;26;K;2;0;;;;;;;4;1;1;1;5;2;52;40.00%;2;2;100.00%;6;335;5;83.30%;55.8
43;Josh Lambo;JAX;31;K;3;0;;;;;;;1;;2;;3;;;0.00%;7;5;71.40%;10;595;7;70.00%;59.5
44;Dominik Eberle;HOU;25;K;1;0;;;1;1;;;;;2;1;3;2;51;66.70%;5;5;100.00%;8;504;3;37.50%;63
45;Mitch Wishnowsky;SFO;29;P;17;0;;;;;;;1;;;;1;;;0.00%;2;1;50.00%;56;3487;21;37.50%;62.3
46;Chris Naggar;CLE;24;K;1;0;;;;;1;1;;;;;1;1;37;100.00%;2;1;50.00%;5;317;3;60.00%;63.4
47;Bradley Pinion;TAM;27;P;15;0;;;;;;;;;1;;1;;;0.00%;;;;89;5756;71;79.80%;64.7
48;Cody Parkey;NOR;29;K;1;0;;;;;;;;;;;;;;;5;3;60.00%;3;195;1;33.30%;65
49;Alex Kessman;NYJ;23;K;1;0;;;;;;;;;;;;;;;2;;0.00%;4;246;1;25.00%;61.5
50;Jake Bailey;NWE;24;P;17;0;;;;;;;;;;;;;;;;;;90;5706;42;46.70%;63.4
51;Rigoberto Sanchez;IND;27;K;17;0;;;;;;;;;;;;;;;;;;89;5687;44;49.40%;63.9
52;Jack Fox;DET;25;P;17;0;;;;;;;;;;;;;;;;;;35;2209;19;54.30%;63.1
53;Braden Mann;NYJ;24;P;10;0;;;;;;;;;;;;;;;;;;22;1426;20;90.90%;64.8
54;Logan Cooke;JAX;26;P;15;0;;;;;;;;;;;;;;;;;;21;1289;9;42.90%;61.4
55;Cameron Nizialek;ATL;26;P;4;0;;;;;;;;;;;;;;;;;;15;946;6;40.00%;63.1
56;Sterling Hofrichter;TAM;25;P;2;0;;;;;;;;;;;;;;;;;;14;894;6;42.90%;63.9
57;Riley Dixon;NYG;28;P;17;0;;;;;;;;;;;;;;;;;;5;102;;;20.4
58;Brandon Zylstra;CAR;28;WR;13;3;;;;;;;;;;;;;;;;;;3;146;;;48.7
59;Blake Gillikin;NOR;23;P;17;0;;;;;;;;;;;;;;;;;;2;130;2;100.00%;65
60;Pressley Harvin III;PIT;23;P;15;0;;;;;;;;;;;;;;;;;;2;101;;;50.5
61;Tress Way;WAS;31;P;16;0;;;;;;;;;;;;;;;;;;2;124;;;62
62;Ryan Winslow;3TM;27;P;4;0;;;;;;;;;;;;;;;;;;2;130;;;65
63;Matt Haack;BUF;27;P;17;0;;;;;;;;;;;;;;;;;;1;53;;;53
64;Michael Palardy;MIA;29;P;17;0;;;;;;;;;;;;;;;;;;1;58;;;58
65;Arryn Siposs;PHI;29;P;17;0;;;;;;;;;;;;;;;;;;1;58;;;58
