;;;;;Games;;0-19;;20-29;;30-39;;40-49;;50+;;Scoring;;;;;;;Kickoffs;;;;
Rk;Player;Tm;Age;Pos;G;GS;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;Lng;FG%;XPA;XPM;XP%;KO;KOYds;TB;TB%;KOAvg
1;Daniel Carlson;LVR;26;K;17;0;;;11;10;12;12;13;12;7;6;43;40;56;93.00%;33;30;90.90%;87;5560;53;60.90%;63.9
2;Chris Boswell;PIT;30;K;17;0;;;9;9;9;8;13;11;9;8;40;36;56;90.00%;29;27;93.10%;86;5464;40;46.50%;63.5
3;Nick Folk;NWE;37;K;17;0;;;9;9;11;11;11;11;8;5;39;36;53;92.30%;47;42;89.40%;12;725;3;25.00%;60.4
4;Greg Joseph;MIN;27;K;17;0;;;8;8;12;11;9;7;9;7;38;33;55;86.80%;40;36;90.00%;94;6004;76;80.90%;63.9
5;Matt Prater;ARI;37;K;17;0;;;11;11;11;9;5;3;10;7;37;30;62;81.10%;49;47;95.90%;97;6013;73;75.30%;62
6;Justin Tucker*+;BAL;32;K;17;0;;;7;7;9;9;15;13;6;6;37;35;66;94.60%;32;32;100.00%;90;5443;47;52.20%;60.5
7;Greg Zuerlein;DAL;34;K;16;0;;;5;5;16;15;9;7;5;2;35;29;56;82.90%;48;42;87.50%;100;6421;80;80.00%;64.2
8;Mason Crosby;GNB;37;K;17;0;;;9;9;13;9;8;4;4;3;34;25;54;73.50%;51;49;96.10%;94;6030;43;45.70%;64.1
9;Matt Gay*;LAR;27;K;17;0;;;6;6;15;15;8;7;5;4;34;32;55;94.10%;49;48;98.00%;102;6309;65;63.70%;61.9
10;Dustin Hopkins;2TM;31;K;17;0;1;1;8;8;6;6;14;13;5;2;34;30;50;88.20%;44;40;90.90%;100;6298;71;71.00%;63
11;Evan McPherson;CIN;22;K;16;0;;;5;5;8;8;9;6;11;9;33;28;58;84.80%;48;46;95.80%;91;5814;55;60.40%;63.9
12;Jake Elliott*;PHI;26;K;17;0;;;7;7;10;10;13;10;3;3;33;30;58;90.90%;44;44;100.00%;96;6071;61;63.50%;63.2
13;Graham Gano;NYG;34;K;17;0;;;5;5;13;12;5;5;10;7;33;29;55;87.90%;17;17;100.00%;63;3901;26;41.30%;61.9
14;Tyler Bass;BUF;24;K;17;0;;;15;15;8;7;5;4;4;2;32;28;57;87.50%;51;51;100.00%;99;6213;56;56.60%;62.8
15;Randy Bullock;TEN;32;K;16;0;;;5;5;12;12;13;8;1;1;31;26;51;83.90%;45;42;93.30%;89;5682;50;56.20%;63.8
16;Jason Sanders;MIA;26;K;17;0;;;6;6;9;7;10;8;6;2;31;23;51;74.20%;35;34;97.10%;78;4969;56;71.80%;63.7
17;Brandon McManus;DEN;30;K;17;0;;;8;7;6;6;8;8;9;5;31;26;61;83.90%;34;33;97.10%;78;4975;62;79.50%;63.8
18;Ryan Succop;TAM;35;K;17;0;;;11;11;8;7;10;7;1;;30;25;48;83.30%;59;56;94.90%;1;16;;;16
