;;;;;Games;;0-19;;20-29;;30-39;;40-49;;50+;;Scoring;;;;;;;Kickoffs;;;;
47;Michael Dickson*+;SEA;22;K;16;0;;;;;;;;;;;;;;;;;;9;407;;;45.2
48;Thomas Morstead;NOR;32;P;16;0;;;;;;;;;;;;;;;;;;2;95;;;47.5
49;Bryan Anger;TAM;30;P;16;0;;;;;;;;;;;;;;;;;;1;73;;;73
50;Daren Bates;TEN;28;LB;16;0;;;;;;;;;;;;;;;;;;1;13;;;13
51;Britton Colquitt;CLE;33;P;16;0;;;;;;;;;;;;;;;;;;1;56;;;56
52;Dustin Colquitt;KAN;36;P;16;0;;;;;;;;;;;;;;;;;;1;60;;;60
53;Lac Edwards;NYJ;26;P;16;0;;;;;;;;;;;;;;;;;;1;56;;;56
54;Brett Kern*;TEN;32;P;16;0;;;;;;;;;;;;;;;;;;1;43;;;43
55;Andy Lee;ARI;36;P;16;0;;;;;;;;;;;;;;;;;;1;68;;;68
56;JK Scott;GNB;23;K;16;0;;;;;;;;;;;;;;;;;;1;61;;;61
