;;;;;Games;;0-19;;20-29;;30-39;;40-49;;50+;;Scoring;;;;;;;Kickoffs;;;;
Rk;Player;Tm;Age;Pos;G;GS;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;Lng;FG%;XPA;XPM;XP%;KO;KOYds;TB;TB%;KOAvg
1;Ka'imi Fairbairn;HOU;24;K;16;0;1;1;9;9;11;11;15;12;6;4;42;37;54;88.10%;41;39;95.10%;92;5885;58;63.00%;64
2;Justin Tucker+;BAL;29;K;16;0;;;12;12;9;9;11;9;7;5;39;35;56;89.70%;37;36;97.30%;92;5765;58;63.00%;62.7
3;Mason Crosby;GNB;34;K;16;0;;;4;4;11;10;15;11;7;5;37;30;53;81.10%;36;34;94.40%;83;5168;41;49.40%;62.3
4;Jason Myers*;NYJ;27;K;16;0;;;4;4;14;13;11;10;7;6;36;33;56;91.70%;33;30;90.90%;82;5255;60;73.20%;64.1
5;Brett Maher;DAL;29;K;16;0;;;10;10;8;6;11;7;7;6;36;29;62;80.60%;33;32;97.00%;77;4984;52;67.50%;64.7
6;Robbie Gould;SFO;36;K;16;0;;;9;9;13;13;10;9;2;2;34;33;53;97.10%;29;27;93.10%;4;102;;;25.5
7;Aldrick Rosas*;NYG;24;K;16;0;;;9;9;13;13;6;6;5;4;33;32;57;97.00%;32;31;96.90%;85;5186;51;60.00%;61
8;Stephen Gostkowski;NWE;34;K;16;0;;;11;11;10;10;6;4;5;2;32;27;52;84.40%;50;49;98.00%;93;5784;50;53.80%;62.2
9;Matt Prater;DET;34;K;16;0;;;8;8;12;12;7;5;5;3;32;28;54;87.50%;30;30;100.00%;6;343;3;50.00%;57.2
10;Greg Zuerlein;LAR;31;K;11;0;;;9;9;10;10;6;4;6;4;31;27;56;87.10%;36;35;97.20%;75;4843;57;76.00%;64.6
11;Jake Elliott;PHI;23;K;16;0;;;7;7;11;10;8;7;5;2;31;26;56;83.90%;35;33;94.30%;82;5210;57;69.50%;63.5
12;Wil Lutz;NOR;24;K;16;0;1;1;5;5;9;9;12;11;3;2;30;28;54;93.30%;53;52;98.10%;101;6503;64;63.40%;64.4
13;Cody Parkey;CHI;26;K;16;0;;;6;6;10;7;12;9;2;1;30;23;50;76.70%;45;42;93.30%;89;5627;65;73.00%;63.2
14;Ryan Succop;TEN;32;K;16;0;;;6;5;13;13;7;5;4;3;30;26;54;86.70%;31;28;90.30%;70;4480;45;64.30%;64
15;Dustin Hopkins;WAS;28;K;16;0;;;5;5;7;7;12;10;5;4;29;26;56;89.70%;26;25;96.20%;70;4443;56;80.00%;63.5
16;Dan Bailey;MIN;30;K;14;0;;;6;5;11;11;9;4;2;1;28;21;52;75.00%;31;30;96.80%;69;4164;35;50.70%;60.3
17;Stephen Hauschka;BUF;33;K;16;0;;;3;3;8;8;10;7;7;4;28;22;54;78.60%;26;25;96.20%;66;3958;30;45.50%;60
18;Harrison Butker;KAN;23;K;16;0;;;9;9;7;7;7;6;4;2;27;24;54;88.90%;69;65;94.20%;110;7000;72;65.50%;63.6
19;Sebastian Janikowski;SEA;40;K;16;0;;;2;2;11;9;9;8;5;3;27;22;56;81.50%;51;48;94.10%;74;4648;42;56.80%;62.8
20;Adam Vinatieri;IND;46;K;16;0;;;8;8;7;6;6;5;6;4;27;23;54;85.20%;47;44;93.60%;;;;;
21;Brandon McManus;DEN;27;K;16;0;;;5;5;6;6;7;7;7;2;25;20;53;80.00%;35;35;100.00%;73;4473;42;57.50%;61.3
22;Randy Bullock;CIN;29;K;16;0;;;4;4;8;7;6;6;5;2;23;19;51;82.60%;41;39;95.10%;79;4969;45;57.00%;62.9
23;Matt Bryant;ATL;43;K;13;0;;;4;4;5;5;7;7;5;4;21;20;57;95.20%;35;33;94.30%;;;;;
24;Daniel Carlson;2TM;23;K;12;0;;;2;2;4;3;12;9;3;3;21;17;50;81.00%;24;24;100.00%;54;3334;29;53.70%;61.7
25;Josh Lambo;JAX;28;K;13;0;;;4;4;8;8;4;3;5;4;21;19;57;90.50%;20;19;95.00%;54;3283;36;66.70%;60.8
26;Chris Boswell;PIT;27;K;15;0;;;3;3;6;4;10;5;1;1;20;13;50;65.00%;48;43;89.60%;81;5097;50;61.70%;62.9
27;Jason Sanders;MIA;23;K;16;0;;;7;7;3;3;9;7;1;1;20;18;50;90.00%;36;35;97.20%;70;4395;55;78.60%;62.8
28;Chandler Catanzaro;2TM;27;K;13;0;;;4;4;10;9;3;;3;3;20;16;59;80.00%;35;30;85.70%;65;4118;52;80.00%;63.4
29;Greg Joseph;CLE;24;K;14;0;;;4;4;7;7;7;5;2;1;20;17;51;85.00%;29;25;86.20%;69;4340;47;68.10%;62.9
30;Cairo Santos;2TM;27;K;9;0;1;1;4;4;6;6;6;3;1;;18;14;45;77.80%;23;22;95.70%;49;2977;19;38.80%;60.8
31;Graham Gano;CAR;31;K;12;0;;;3;3;5;4;4;4;4;3;16;14;63;87.50%;33;30;90.90%;62;3940;47;75.80%;63.5
32;Michael Badgley;LAC;23;K;10;0;;;4;4;5;5;5;5;2;1;16;15;59;93.80%;28;27;96.40%;;;;;
33;Zane Gonzalez;2TM;23;K;7;0;;;1;1;4;4;4;2;5;2;14;9;55;64.30%;11;8;72.70%;28;1802;17;60.70%;64.4
34;Caleb Sturgis;LAC;29;K;6;0;;;4;4;2;2;6;3;1;;13;9;49;69.20%;15;9;60.00%;;;;;
35;Matthew McCrane;3TM;24;K;5;0;;;3;3;2;2;5;3;2;;12;8;47;66.70%;9;9;100.00%;21;1250;5;23.80%;59.5
36;Phil Dawson;ARI;43;K;10;0;;;2;2;2;2;3;1;1;;8;5;43;62.50%;15;15;100.00%;32;1982;14;43.80%;61.9
37;Mike Nugent;OAK;36;K;3;0;;;3;3;;;2;2;1;1;6;6;52;100.00%;5;4;80.00%;14;858;6;42.90%;61.3
38;Giorgio Tavecchio;ATL;28;K;3;0;;;1;1;;;2;2;2;2;5;5;56;100.00%;8;8;100.00%;;;;;
39;Kai Forbath;JAX;31;K;3;0;;;2;2;1;1;1;1;1;;5;4;41;80.00%;3;3;100.00%;;;;;
40;Sam Ficken;LAR;26;K;2;0;;;1;;1;1;1;;;;3;1;34;33.30%;10;10;100.00%;13;804;11;84.60%;61.8
41;Johnny Hekker;LAR;28;P;16;0;;;1;1;;;;;;;1;1;20;100.00%;1;1;100.00%;6;381;2;33.30%;63.5
42;Matthew Bosher;ATL;31;K;16;0;;;;;;;;;;;;;;;;;;89;5578;51;57.30%;62.7
43;Rigoberto Sanchez;IND;24;K;16;0;;;;;;;;;;;;;;;;;;88;5435;59;67.00%;61.8
44;Bradley Pinion;SFO;24;P;16;0;;;;;;;;;;;;;;;;;;77;4963;52;67.50%;64.5
45;Sam Martin;DET;28;P;16;0;;;;;;;;;;;;;;;;;;73;4459;34;46.60%;61.1
46;Logan Cooke;JAX;23;P;16;0;;;;;;;;;;;;;;;;;;10;625;5;50.00%;62.5
