;;;;;Games;;0-19;;20-29;;30-39;;40-49;;50+;;Scoring;;;;;;;Kickoffs;;;;
Rk;Player;Tm;Age;Pos;G;GS;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;Lng;FG%;XPA;XPM;XP%;KO;KOYds;TB;TB%;KOAvg
1;Justin Tucker*;BAL;33;K;17;0;;;13;13;11;11;5;4;14;9;43;37;58;86.00%;32;31;96.90%;86;5449;60;69.80%;63.4
2;Ryan Succop;TAM;36;K;17;0;;;11;10;8;7;12;12;7;2;38;31;54;81.60%;25;24;96.00%;;;;;
3;Jason Myers*;SEA;31;K;17;0;;;9;9;16;15;6;4;6;6;37;34;56;91.90%;42;41;97.60%;93;5839;54;58.10%;62.8
4;Daniel Carlson+;LVR;27;K;17;0;;;9;9;11;11;4;3;13;11;37;34;57;91.90%;36;35;97.20%;90;5548;57;63.30%;61.6
5;Nick Folk;NWE;38;K;17;0;1;1;9;9;8;8;14;10;5;4;37;32;54;86.50%;35;32;91.40%;33;1953;3;9.10%;59.2
6;Younghoe Koo;ATL;28;K;17;0;;;9;9;7;7;10;9;11;7;37;32;54;86.50%;35;33;94.30%;;;;;
7;Greg Zuerlein;NYJ;35;K;17;0;;;5;5;10;10;11;9;11;6;37;30;60;81.10%;29;28;96.60%;56;3590;47;83.90%;64.1
8;Brandon McManus;DEN;31;K;17;0;;;7;6;6;4;10;10;13;8;36;28;55;77.80%;27;25;92.60%;73;4580;51;69.90%;62.7
9;Chase McLaughlin;IND;26;K;16;0;;;7;7;6;5;11;9;12;9;36;30;54;83.30%;21;21;100.00%;72;4682;38;52.80%;65
10;Riley Patterson;JAX;23;K;17;0;;;8;8;11;10;13;10;3;2;35;30;53;85.70%;37;36;97.30%;88;5492;44;50.00%;62.4
11;Eddy Pineiro;CAR;27;K;17;0;;;2;2;17;16;14;13;2;2;35;33;54;94.30%;32;30;93.80%;83;5146;46;55.40%;62
12;Greg Joseph;MIN;28;K;17;0;;;10;10;5;5;8;7;10;4;33;26;61;78.80%;46;40;87.00%;89;5639;54;60.70%;63.4
13;Brett Maher;DAL;33;K;17;0;;;9;9;5;5;7;6;11;9;32;29;60;90.60%;53;50;94.30%;100;6506;78;78.00%;65.1
14;Robbie Gould;SFO;40;K;17;0;;;14;13;5;5;11;7;2;2;32;27;51;84.40%;51;50;98.00%;95;5983;47;49.50%;63
15;Jason Sanders;MIA;27;K;17;0;;;6;5;7;7;13;12;6;2;32;26;55;81.30%;44;41;93.20%;88;5486;61;69.30%;62.3
16;Cade York;CLE;21;K;17;0;;;5;5;12;9;8;6;7;4;32;24;58;75.00%;37;35;94.60%;81;5032;50;61.70%;62.1
17;Graham Gano;NYG;35;K;17;0;;;2;2;10;9;11;10;9;8;32;29;57;90.60%;34;32;94.10%;84;5117;50;59.50%;60.9
18;Tyler Bass;BUF;25;K;16;0;;;4;4;13;11;11;10;3;2;31;27;56;87.10%;50;48;96.00%;92;5759;43;46.70%;62.6
19;Wil Lutz;NOR;28;K;17;0;;;6;6;11;9;8;4;6;4;31;23;60;74.20%;33;33;100.00%;75;4554;48;64.00%;60.7
20;Ka'imi Fairbairn;HOU;28;K;17;0;;;7;7;8;7;10;9;6;6;31;29;56;93.50%;24;24;100.00%;75;4564;33;44.00%;60.9
21;Matt Gay;LAR;28;K;17;0;;;9;9;8;8;4;4;9;7;30;28;58;93.30%;32;31;96.90%;77;4843;61;79.20%;62.9
22;Joey Slye;WAS;26;K;17;0;1;1;8;8;5;4;10;8;6;4;30;25;58;83.30%;28;24;85.70%;77;4802;60;77.90%;62.4
23;Evan McPherson;CIN;23;K;16;0;1;1;6;5;4;4;13;9;5;5;29;24;59;82.80%;44;40;90.90%;90;5604;51;56.70%;62.3
24;Mason Crosby;GNB;38;K;17;0;;;10;10;8;8;7;6;4;1;29;25;56;86.20%;39;37;94.90%;74;4494;15;20.30%;60.7
25;Michael Badgley;2TM;27;K;13;0;;;7;6;7;7;11;9;3;2;28;24;53;85.70%;33;33;100.00%;5;195;1;20.00%;39
26;Chris Boswell;PIT;31;K;12;0;;;4;4;5;4;10;5;9;7;28;20;59;71.40%;18;18;100.00%;50;3073;21;42.00%;61.5
27;Matt Prater;ARI;38;K;13;0;;;1;1;10;10;8;6;6;5;25;22;57;88.00%;18;17;94.40%;49;3098;34;69.40%;63.2
28;Harrison Butker;KAN;27;K;13;0;;;7;7;5;4;5;4;7;3;24;18;62;75.00%;41;38;92.70%;68;4378;44;64.70%;64.4
29;Jake Elliott;PHI;27;K;16;0;;;6;6;9;8;2;1;6;5;23;20;56;87.00%;53;51;96.20%;91;5893;63;69.20%;64.8
30;Cairo Santos;CHI;31;K;16;0;;;4;4;7;7;7;6;5;4;23;21;51;91.30%;32;27;84.40%;49;3076;28;57.10%;62.8
31;Cameron Dicker;2TM;22;K;11;0;;;7;7;7;7;7;7;1;;22;21;48;95.50%;24;24;100.00%;55;3519;46;83.60%;64
32;Randy Bullock;TEN;33;K;15;0;;;5;5;5;5;8;6;2;1;20;17;51;85.00%;28;28;100.00%;56;3539;31;55.40%;63.2
33;Matthew Wright;2TM;26;K;6;0;;;1;1;7;6;8;6;2;2;18;15;59;83.30%;15;15;100.00%;36;2244;15;41.70%;62.3
34;Dustin Hopkins;LAC;32;K;5;0;;;2;2;6;6;2;1;;;10;9;43;90.00%;12;12;100.00%;19;1175;17;89.50%;61.8
35;Matt Ammendola;2TM;26;K;4;0;1;1;3;3;2;1;1;;;;7;5;31;71.40%;7;5;71.40%;16;1022;12;75.00%;63.9
36;Austin Seibert;DET;26;K;3;0;;;;;1;1;3;2;1;;5;3;48;60.00%;12;12;100.00%;18;1096;3;16.70%;60.9
37;Rodrigo Blankenship;2TM;25;K;3;0;;;2;2;;;2;1;1;1;5;4;50;80.00%;5;4;80.00%;20;1303;17;85.00%;65.2
38;Caleb Shudak;TEN;25;K;1;0;;;1;1;3;2;;;;;4;3;38;75.00%;1;1;100.00%;5;315;4;80.00%;63
39;Taylor Bertolet;LAC;30;K;2;0;;;3;3;;;;;;;3;3;28;100.00%;6;6;100.00%;11;630;5;45.50%;57.3
40;Tristan Vizcaino;2TM;26;;3;0;;;;;1;1;1;1;;;2;2;46;100.00%;3;3;100.00%;12;740;4;33.30%;61.7
41;Nick Sciba;PIT;23;K;1;0;;;1;1;1;1;;;;;2;2;38;100.00%;1;1;100.00%;4;232;;;58
42;Dominik Eberle;DET;26;K;1;0;;;;;;;1;1;;;1;1;49;100.00%;4;2;50.00%;7;361;5;71.40%;51.6
43;Josh Lambo;TEN;32;K;1;0;;;;;;;;;;;;;;;4;3;75.00%;5;307;;;61.4
44;Justin Reid;KAN;25;S;17;17;;;;;;;;;;;;;;;2;1;50.00%;7;445;5;71.40%;63.6
45;Mitch Wishnowsky;SFO;30;P;17;0;;;;;;;;;;;;;;;2;1;50.00%;4;240;;;60
46;Bradley Pinion;ATL;28;P;17;0;;;;;;;;;;;;;;;;;;80;5143;59;73.80%;64.3
47;Jake Camarda;TAM;23;P;17;0;;;;;;;;;;;;;;;;;;78;4859;40;51.30%;62.3
48;Jack Fox;DET;26;P;17;0;;;;;;;;;;;;;;;;;;63;4077;45;71.40%;64.7
49;Jake Bailey;NWE;25;P;9;0;;;;;;;;;;;;;;;;;;46;2949;28;60.90%;64.1
50;Trenton Gill;CHI;23;P;17;0;;;;;;;;;;;;;;;;;;27;1743;13;48.10%;64.6
51;Braden Mann;NYJ;25;P;17;0;;;;;;;;;;;;;;;;;;17;855;11;64.70%;50.3
52;Ramiz Ahmed;GNB;27;K;1;0;;;;;;;;;;;;;;;;;;6;370;3;50.00%;61.7
53;JK Scott;LAC;27;P;17;0;;;;;;;;;;;;;;;;;;6;387;5;83.30%;64.5
54;Eno Benjamin;3TM;23;;15;3;;;;;;;;;;;;;;;;;;3;158;;;52.7
55;Ryan Stonehouse;TEN;23;P;17;0;;;;;;;;;;;;;;;;;;3;180;2;66.70%;60
56;Thomas Morstead;MIA;36;P;17;0;;;;;;;;;;;;;;;;;;2;147;;;73.5
57;Corey Bojorquez;CLE;26;P;17;0;;;;;;;;;;;;;;;;;;1;79;;;79
58;Logan Cooke;JAX;27;P;17;0;;;;;;;;;;;;;;;;;;1;45;;;45
59;Michael Dickson;SEA;26;P;17;0;;;;;;;;;;;;;;;;;;1;65;;;65
60;Riley Dixon;LAR;29;P;17;0;;;;;;;;;;;;;;;;;;1;43;;;43
61;Jamie Gillan;NYG;25;P;17;0;;;;;;;;;;;;;;;;;;1;57;;;57
62;Johnny Hekker;CAR;32;P;17;0;;;;;;;;;;;;;;;;;;1;8;;;8
63;Sam Martin;BUF;32;P;16;0;;;;;;;;;;;;;;;;;;1;63;;;63
64;Arryn Siposs;PHI;30;P;13;0;;;;;;;;;;;;;;;;;;1;70;;;70
65;Tress Way*;WAS;32;P;17;0;;;;;;;;;;;;;;;;;;1;63;;;63
