;;;;;Games;;0-19;;20-29;;30-39;;40-49;;50+;;Scoring;;;;;;;Kickoffs;;;;
Rk;Player;Tm;Age;Pos;G;GS;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;Lng;FG%;XPA;XPM;XP%;KO;KOYds;TB;TB%;KOAvg
1;Dustin Hopkins;WAS;26;K;16;0;;;12;12;14;12;9;7;7;3;42;34;53;81.00%;39;36;92.30%;92;5788;65;70.70%;62.9
2;Caleb Sturgis;PHI;27;K;16;0;;;12;12;12;12;11;7;6;4;41;35;55;85.40%;31;30;96.80%;87;5439;46;52.90%;62.5
3;Nick Novak;HOU;35;K;16;0;1;1;12;12;11;11;11;8;6;3;41;35;53;85.40%;25;22;88.00%;74;4444;23;31.10%;60.1
4;Justin Tucker*+;BAL;27;K;16;0;;;4;4;11;10;14;14;10;10;39;38;57;97.40%;27;27;100.00%;80;5039;52;65.00%;63
5;Graham Gano;CAR;29;K;16;0;;;4;4;11;9;17;14;6;3;38;30;54;78.90%;34;31;91.20%;86;5497;63;73.30%;63.9
6;Matt Bryant*;ATL;41;K;16;0;;;12;12;8;7;9;9;8;6;37;34;59;91.90%;57;56;98.20%;;;;;
7;Stephen Hauschka;SEA;31;K;16;0;;;13;11;13;13;10;8;1;1;37;33;53;89.20%;35;29;82.90%;86;5477;54;62.80%;63.7
8;Matt Prater*;DET;32;K;16;0;;;10;10;5;4;14;10;7;7;36;31;58;86.10%;33;31;93.90%;2;116;1;50.00%;58
9;Sebastian Janikowski;OAK;38;K;16;0;1;1;9;9;6;6;11;10;8;3;35;29;56;82.90%;39;37;94.90%;88;5630;43;48.90%;64
10;Cairo Santos;KAN;25;K;16;0;;;9;8;17;15;7;6;2;2;35;31;53;88.60%;39;36;92.30%;86;5355;48;55.80%;62.3
11;Wil Lutz;NOR;22;K;16;0;1;1;7;7;11;9;8;8;7;3;34;28;57;82.40%;50;49;98.00%;93;5693;49;52.70%;61.2
12;Brandon McManus;DEN;25;K;16;0;;;9;9;10;10;9;7;6;3;34;29;55;85.30%;33;32;97.00%;79;4836;51;64.60%;61.2
13;Jason Myers;JAX;25;K;16;0;;;7;7;4;3;11;10;12;7;34;27;56;79.40%;32;29;90.60%;76;4673;60;78.90%;61.5
14;Stephen Gostkowski;NWE;32;K;16;0;;;9;9;9;6;10;9;4;3;32;27;53;84.40%;49;46;93.90%;93;5924;52;55.90%;63.7
15;Dan Bailey;DAL;28;K;16;0;;;9;9;8;8;9;7;6;3;32;27;56;84.40%;46;46;100.00%;91;5827;57;62.60%;64
16;Josh Lambo;SDG;26;K;16;0;;;7;7;14;13;8;6;3;;32;26;47;81.30%;46;42;91.30%;91;5694;67;73.60%;62.6
17;Adam Vinatieri;IND;44;K;16;0;;;3;3;7;7;12;10;9;7;31;27;54;87.10%;44;44;100.00%;;;;;
18;Roberto Aguayo;TAM;22;K;16;0;;;5;5;15;13;10;4;1;;31;22;43;71.00%;34;32;94.10%;79;4993;52;65.80%;63.2
19;Nick Folk;NYJ;32;K;16;0;;;13;12;11;10;3;3;4;2;31;27;51;87.10%;26;24;92.30%;70;4425;39;55.70%;63.2
20;Mason Crosby;GNB;32;K;16;0;1;1;6;6;14;12;7;6;2;1;30;26;53;86.70%;47;44;93.60%;89;5608;46;51.70%;63
21;Mike Nugent;CIN;34;K;13;0;;;9;9;10;9;7;5;3;;29;23;47;79.30%;29;23;79.30%;63;3970;28;44.40%;63
22;Chandler Catanzaro;ARI;25;K;16;0;1;1;6;5;7;6;8;6;6;3;28;21;60;75.00%;47;43;91.50%;83;5220;52;62.70%;62.9
23;Dan Carpenter;BUF;31;K;16;0;1;1;8;8;5;5;9;4;2;1;25;19;54;76.00%;45;40;88.90%;69;4154;28;40.60%;60.2
24;Chris Boswell;PIT;25;K;15;0;;;2;2;9;8;12;11;2;;25;21;49;84.00%;36;36;100.00%;80;4953;49;61.30%;61.9
25;Cody Parkey;CLE;24;K;14;0;;;6;6;6;6;12;7;1;1;25;20;51;80.00%;21;20;95.20%;57;3475;34;59.60%;61
26;Ryan Succop;TEN;30;K;16;0;1;1;5;5;5;5;8;8;5;3;24;22;53;91.70%;41;39;95.10%;82;5086;58;70.70%;62
27;Connor Barth;CHI;30;K;16;0;;;8;7;8;7;4;3;3;1;23;18;54;78.30%;32;31;96.90%;64;3973;26;40.60%;62.1
28;Greg Zuerlein;LAR;29;K;16;0;;;5;5;9;9;4;3;4;2;22;19;54;86.40%;23;23;100.00%;59;3794;36;61.00%;64.3
29;Andrew Franks;MIA;23;K;16;0;;;10;8;6;6;3;1;2;1;21;16;55;76.20%;42;41;97.60%;74;4768;43;58.10%;64.4
30;Phil Dawson;SFO;41;K;16;0;;;4;4;6;6;9;7;2;1;21;18;53;85.70%;34;33;97.10%;41;2304;4;9.80%;56.2
