;;;;;Games;;0-19;;20-29;;30-39;;40-49;;50+;;Scoring;;;;;;;Kickoffs;;;;
31;Blair Walsh;MIN;26;K;9;0;1;1;1;1;6;5;6;4;2;1;16;12;50;75.00%;19;15;78.90%;41;2569;19;46.30%;62.7
32;Kai Forbath;MIN;29;K;7;0;;;5;5;5;5;4;4;1;1;15;15;51;100.00%;14;11;78.60%;38;2363;19;50.00%;62.2
33;Josh Brown;NYG;37;K;5;0;1;1;3;3;3;3;4;4;1;;12;11;48;91.70%;9;9;100.00%;24;1452;15;62.50%;60.5
34;Robbie Gould;NYG;34;K;10;0;;;3;3;3;3;4;4;;;10;10;47;100.00%;23;20;87.00%;43;2671;19;44.20%;62.1
35;Randy Bullock;3TM;27;K;5;0;;;4;4;2;2;3;2;;;9;8;44;88.90%;10;9;90.00%;23;1450;14;60.90%;63
36;Patrick Murray;CLE;25;K;2;0;;;;;1;1;;;1;;2;1;35;50.00%;4;3;75.00%;7;463;4;57.10%;66.1
37;Matthew Bosher;ATL;29;K;15;0;;;;;;;;;;;;;;;;;;105;6781;65;61.90%;64.6
38;Pat McAfee*;IND;29;K;16;0;;;;;;;;;;;;;;;;;;89;5697;49;55.10%;64
39;Sam Martin;DET;26;P;16;0;;;;;;;;;;;;;;;;;;78;4819;52;66.70%;61.8
40;Bradley Pinion;SFO;22;P;16;0;;;;;;;;;;;;;;;;;;31;1955;20;64.50%;63.1
41;Matt Wile;2TM;24;P;4;0;;;;;;;;;;;;;;;;;;7;455;7;100.00%;65
42;Bryan Anger;TAM;28;P;16;0;;;;;;;;;;;;;;;;;;2;97;;;48.5
43;Britton Colquitt;CLE;31;P;16;0;;;;;;;;;;;;;;;;;;2;125;;;62.5
44;Riley Dixon;DEN;23;P;16;0;;;;;;;;;;;;;;;;;;2;100;;;50
45;Brian Peters;HOU;28;LB;12;0;;;;;;;;;;;;;;;;;;2;123;;;61.5
46;Kevin Huber;CIN;31;P;16;0;;;;;;;;;;;;;;;;;;1;64;;;64
47;Drew Kaser;SDG;23;P;16;0;;;;;;;;;;;;;;;;;;1;60;;;60
48;Brett Kern;TEN;30;P;16;0;;;;;;;;;;;;;;;;;;1;59;;;59
49;Sam Koch;BAL;34;P;16;0;;;;;;;;;;;;;;;;;;1;65;;;65
50;Andy Lee;CAR;34;P;9;0;;;;;;;;;;;;;;;;;;1;71;;;71
51;Brad Nortman;JAX;27;P;16;0;;;;;;;;;;;;;;;;;;1;54;;;54
52;Pat O'Donnell;CHI;25;P;16;0;;;;;;;;;;;;;;;;;;1;51;;;51
53;Jon Ryan;SEA;35;P;16;0;;;;;;;;;;;;;;;;;;1;65;;;65
54;Colton Schmidt;BUF;26;P;16;0;;;;;;;;;;;;;;;;;;1;45;;;45
55;Brad Wing;NYG;25;P;16;0;;;;;;;;;;;;;;;;;;1;67;;;67
