;;;;;Games;;0-19;;20-29;;30-39;;40-49;;50+;;Scoring;;;;;;;Kickoffs;;;;
Rk;Player;Tm;Age;Pos;G;GS;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;Lng;FG%;XPA;XPM;XP%;KO;KOYds;TB;TB%;KOAvg
1;Greg Zuerlein;DAL;33;K;16;0;1;1;5;5;13;13;13;12;9;3;41;34;59;82.90%;36;33;91.70%;90;5589;60;66.70%;62.1
2;Jason Sanders+;MIA;25;K;16;0;1;1;8;8;7;7;14;12;9;8;39;36;56;92.30%;36;36;100.00%;91;5540;64;70.30%;60.9
3;Younghoe Koo*;ATL;26;K;15;0;;;10;10;12;11;9;8;8;8;39;37;54;94.90%;36;33;91.70%;66;4160;28;42.40%;63
4;Rodrigo Blankenship;IND;23;K;16;0;;;10;10;13;12;11;9;3;1;37;32;53;86.50%;45;43;95.60%;20;1267;13;65.00%;63.4
5;Joey Slye;CAR;24;K;16;0;;;12;11;10;10;8;7;6;1;36;29;56;80.60%;36;33;91.70%;81;5095;71;87.70%;62.9
6;Daniel Carlson;LVR;25;K;16;0;;;18;18;8;8;5;3;4;4;35;33;54;94.30%;47;45;95.70%;95;5966;61;64.20%;62.8
7;Tyler Bass;BUF;23;K;16;0;1;1;9;9;9;6;9;8;6;4;34;28;58;82.40%;59;57;96.60%;101;6469;71;70.30%;64
8;Dustin Hopkins;WAS;30;K;16;0;;;5;5;8;7;17;13;4;2;34;27;51;79.40%;32;30;93.80%;78;4808;65;83.30%;61.6
9;Brandon McManus;DEN;29;K;15;0;;;6;6;5;4;8;8;15;10;34;28;58;82.40%;27;24;88.90%;73;4516;54;74.00%;61.9
10;Michael Badgley;LAC;25;K;16;0;;;8;8;6;6;13;8;6;2;33;24;53;72.70%;39;36;92.30%;3;177;;;59
11;Cairo Santos;CHI;29;K;16;0;;;9;9;10;10;10;9;3;2;32;30;55;93.80%;37;36;97.30%;86;5252;42;48.80%;61.1
12;Graham Gano;NYG;33;K;16;0;;;4;4;13;13;9;9;6;5;32;31;55;96.90%;23;21;91.30%;73;4357;30;41.10%;59.7
13;Ryan Succop;TAM;34;K;16;0;1;1;10;10;9;9;9;7;2;1;31;28;50;90.30%;57;52;91.20%;1;16;;;16
14;Ka'imi Fairbairn;HOU;26;K;16;0;;;8;8;9;9;8;6;6;4;31;27;54;87.10%;40;37;92.50%;85;5343;52;61.20%;62.9
15;Justin Tucker*;BAL;31;K;16;0;;;8;8;7;6;9;9;5;3;29;26;55;89.70%;53;52;98.10%;95;6094;65;68.40%;64.1
16;Wil Lutz;NOR;26;K;16;0;;;6;5;10;10;9;7;3;1;28;23;53;82.10%;58;57;98.30%;94;5929;71;75.50%;63.1
17;Matt Prater;DET;36;K;16;0;;;4;4;7;7;7;4;10;6;28;21;59;75.00%;41;38;92.70%;18;1065;7;38.90%;59.2
18;Nick Folk;NWE;36;K;16;0;;;6;6;7;7;12;11;3;2;28;26;51;92.90%;33;30;90.90%;3;172;;;57.3
19;Harrison Butker;KAN;25;K;16;0;2;2;7;7;9;9;5;3;4;4;27;25;58;92.60%;54;48;88.90%;95;6027;72;75.80%;63.4
20;Stephen Gostkowski;TEN;36;K;15;0;;;3;2;5;4;10;5;8;7;26;18;55;69.20%;48;46;95.80%;86;5341;51;59.30%;62.1
21;Randy Bullock;CIN;31;K;12;0;;;3;3;10;8;8;7;5;3;26;21;55;80.80%;25;24;96.00%;58;3617;43;74.10%;62.4
22;Jason Myers;SEA;29;K;16;0;;;2;2;7;7;13;13;2;2;24;24;61;100.00%;53;49;92.50%;91;5792;52;57.10%;63.6
23;Robbie Gould;SFO;38;K;15;0;;;3;3;6;5;10;9;4;2;23;19;52;82.60%;38;36;94.70%;13;577;1;7.70%;44.4
24;Cody Parkey;CLE;28;K;15;0;;;5;5;6;4;11;10;;;22;19;46;86.40%;47;43;91.50%;81;5140;45;55.60%;63.5
25;Dan Bailey;MIN;32;K;16;0;;;6;6;4;3;7;4;5;2;22;15;53;68.20%;43;37;86.00%;83;4948;53;63.90%;59.6
26;Zane Gonzalez;ARI;25;K;12;0;;;4;4;2;2;13;8;3;2;22;16;56;72.70%;39;38;97.40%;65;4112;36;55.40%;63.3
27;Chris Boswell;PIT;29;K;13;0;;;5;5;6;6;8;7;1;1;20;19;59;95.00%;38;34;89.50%;73;4622;44;60.30%;63.3
28;Jake Elliott;PHI;25;K;16;0;;;3;1;6;6;5;5;5;2;19;14;54;73.70%;26;24;92.30%;73;4508;46;63.00%;61.8
29;Mason Crosby;GNB;36;K;16;0;1;1;1;1;5;5;5;5;4;4;16;16;57;100.00%;63;59;93.70%;82;5236;48;58.50%;63.9
30;Matt Gay;LAR;26;K;7;0;;;2;2;6;5;7;6;1;1;16;14;51;87.50%;16;16;100.00%;35;2234;28;80.00%;63.8
31;Sam Ficken;NYJ;28;K;9;0;;;5;5;6;6;1;1;3;1;15;13;54;86.70%;15;12;80.00%;32;1975;18;56.30%;61.7
32;Sam Sloman;2TM;23;K;8;0;;;3;2;6;6;3;2;1;;13;10;47;76.90%;26;23;88.50%;44;2791;24;54.50%;63.4
33;Sergio Castillo;NYJ;30;K;6;0;;;2;1;4;3;5;2;2;2;13;8;55;61.50%;7;6;85.70%;;;;;
34;Aldrick Rosas;JAX;26;K;6;0;;;3;3;2;2;1;;5;3;11;8;54;72.70%;9;9;100.00%;20;1266;15;75.00%;63.3
35;Austin Seibert;2TM;24;K;5;0;;;;;5;5;3;1;1;;9;6;48;66.70%;9;8;88.90%;20;1290;13;65.00%;64.5
36;Mike Nugent;ARI;38;K;4;0;;;1;1;5;4;2;2;;;8;7;43;87.50%;7;7;100.00%;19;1202;3;15.80%;63.3
37;Josh Lambo;JAX;30;K;4;0;;;;;2;2;1;1;2;2;5;5;59;100.00%;10;8;80.00%;5;227;2;40.00%;45.4
38;Chase McLaughlin;2TM;24;K;4;0;;;1;1;1;1;1;1;2;1;5;4;52;80.00%;6;5;83.30%;3;177;;;59
39;Matthew Wright;PIT;24;K;3;0;;;1;1;1;1;2;2;;;4;4;46;100.00%;7;7;100.00%;15;869;1;6.70%;57.9
40;Kai Forbath;LAR;33;K;2;0;;;2;2;;;1;;;;3;2;23;66.70%;5;4;80.00%;9;585;4;44.40%;65
41;Tristan Vizcaino;SFO;24;K;1;0;;;;;2;2;1;1;;;3;3;47;100.00%;2;2;100.00%;1;65;1;100.00%;65
42;Stephen Hauschka;JAX;35;K;1;0;;;1;;;;1;;;;2;;;0.00%;2;2;100.00%;;;;;
43;Jonathan Brown;JAX;28;K;1;0;;;;;2;1;;;;;2;1;31;50.00%;1;1;100.00%;1;9;;;9
44;Taylor Russolino;DEN;31;K;1;0;;;;;;;;;1;;1;;;0.00%;3;1;33.30%;4;209;;;52.3
45;Elliott Fry;ATL;26;K;1;0;;;1;1;;;;;;;1;1;23;100.00%;2;1;50.00%;4;259;2;50.00%;64.8
46;Jamie Gillan;CLE;23;P;16;0;;;;;;;;;1;;1;;;0.00%;;;;1;55;;;55
47;Brandon Wright;JAX;23;K;1;0;;;;;;;;;;;;;;;2;1;50.00%;;;;;
48;Bradley Pinion;TAM;26;P;16;0;;;;;;;;;;;;;;;;;;100;6477;85;85.00%;64.8
49;Ty Long;LAC;27;P;16;0;;;;;;;;;;;;;;;;;;81;5187;49;60.50%;64
50;Rigoberto Sanchez;IND;26;K;14;0;;;;;;;;;;;;;;;;;;77;4803;33;42.90%;62.4
51;Jake Bailey*+;NWE;23;P;16;0;;;;;;;;;;;;;;;;;;72;4584;42;58.30%;63.7
52;Mitch Wishnowsky;SFO;28;P;16;0;;;;;;;;;;;;;;;;;;67;4229;42;62.70%;63.1
53;Jack Fox*;DET;24;P;16;0;;;;;;;;;;;;;;;;;;60;3670;19;31.70%;61.2
54;Logan Cooke;JAX;25;P;14;0;;;;;;;;;;;;;;;;;;46;2782;25;54.30%;60.5
55;Braden Mann;NYJ;23;P;16;0;;;;;;;;;;;;;;;;;;28;1813;16;57.10%;64.8
56;Sterling Hofrichter;ATL;24;P;16;0;;;;;;;;;;;;;;;;;;22;1383;16;72.70%;62.9
57;JK Scott;GNB;25;K;16;0;;;;;;;;;;;;;;;;;;16;965;4;25.00%;60.3
58;Bryan Anger;HOU;32;P;16;0;;;;;;;;;;;;;;;;;;2;126;;;63
59;Britton Colquitt;MIN;35;P;16;0;;;;;;;;;;;;;;;;;;2;105;;;52.5
60;Michael Dickson;SEA;24;K;16;0;;;;;;;;;;;;;;;;;;2;26;;;13
61;Cameron Johnston;PHI;28;P;16;0;;;;;;;;;;;;;;;;;;2;118;;;59
62;Chris Jones;DAL;31;P;8;0;;;;;;;;;;;;;;;;;;2;116;;;58
63;Andy Lee;ARI;38;P;16;0;;;;;;;;;;;;;;;;;;2;121;;;60.5
64;Sam Martin;DEN;30;P;16;0;;;;;;;;;;;;;;;;;;2;114;;;57
65;Tommy Townsend;KAN;24;P;16;0;;;;;;;;;;;;;;;;;;2;103;;;51.5
66;Aaron Brewer;ARI;30;LS;16;0;;;;;;;;;;;;;;;;;;1;15;;;15
67;Keelan Cole;JAX;27;WR;16;5;;;;;;;;;;;;;;;;;;1;11;;;11
68;Riley Dixon;NYG;27;P;16;0;;;;;;;;;;;;;;;;;;1;50;;;50
69;Matt Haack;MIA;26;P;16;0;;;;;;;;;;;;;;;;;;1;49;;;49
70;Brett Kern;TEN;34;P;13;0;;;;;;;;;;;;;;;;;;1;48;;;48
71;Thomas Morstead;NOR;34;P;16;0;;;;;;;;;;;;;;;;;;1;33;;;33
